epoch,step,train_loss_step
0,49,9.958587646484375
0,99,8.887985229492188
0,149,8.33648681640625
0,199,8.221115112304688
0,249,8.410202026367188
0,299,7.748870849609375
0,349,7.747222900390625
0,399,7.5075531005859375
0,449,8.125518798828125
0,499,7.383209228515625
0,549,7.964019775390625
0,599,8.010818481445312
0,649,7.182464599609375
0,699,7.2356414794921875
0,749,7.8139495849609375
0,799,7.787200927734375
0,849,7.6810760498046875
0,899,8.433456420898438
0,949,7.790191650390625
0,999,7.4471893310546875
0,1049,8.048095703125
0,1099,7.8946380615234375
0,1149,8.174697875976562
0,1199,8.044830322265625
0,1249,8.029815673828125
0,1299,7.2201995849609375
0,1349,7.7884674072265625
0,1399,7.962860107421875
0,1449,8.00860595703125
0,1499,7.3416595458984375
0,1549,8.359939575195312
0,1599,7.154052734375
0,1649,7.7644195556640625
0,1699,7.7972412109375
0,1749,7.9960479736328125
0,1799,7.6755218505859375
0,1849,8.056732177734375
0,1899,8.069610595703125
0,1949,7.6090240478515625
0,1999,7.2706451416015625
0,2049,7.47705078125
0,2099,8.362579345703125
0,2149,7.986541748046875
0,2199,6.776031494140625
0,2249,7.561279296875
0,2299,7.6076812744140625
0,2349,7.887969970703125
0,2399,7.302978515625
